index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,4D044FCF43EF0001,true,3,192.168.1.112,1623444220301,1623444220344,100,43,,43
1,2,yyzsp9oorvk,false,1,192.168.1.114,1623444220343,1623444220347,100,4,4,
2,1,02905D8B7CB40001,true,3,192.168.1.112,1623444220331,1623444220350,100,19,,19
4,4,w994hocoib,false,1,192.168.1.114,1623444220364,1623444220366,100,2,2,
3,3,ht956jv2imc,false,1,192.168.1.114,1623444220354,1623444220356,100,2,2,
5,5,u2t25n2190j,false,1,192.168.1.114,1623444220376,1623444220377,100,1,1,
6,6,C3866B3F93050001,true,3,192.168.1.112,1623444220393,1623444220407,100,14,,14
7,8,khne13gfls,false,1,192.168.1.114,1623444220423,1623444220425,100,2,2,
8,7,04744F848AD60000,true,3,192.168.1.112,1623444220411,1623444220427,100,16,,16
9,10,qhuw1hrn32,false,1,192.168.1.114,1623444220450,1623444220452,100,2,2,
10,9,04CDEE88E3F10000,true,3,192.168.1.112,1623444220440,1623444220455,100,15,,15
11,12,mcht0q5aiw,false,1,192.168.1.114,1623444220481,1623444220483,100,2,2,
12,11,D958EE82A3F30000,true,3,192.168.1.112,1623444220469,1623444220484,100,15,,15
13,13,ujhdrp08qf,false,1,192.168.1.114,1623444220491,1623444220493,100,2,2,
14,14,fm3knhn90cc,false,1,192.168.1.114,1623444220501,1623444220503,100,2,2,
15,16,s6eewq0rjj,false,1,192.168.1.114,1623444220529,1623444220530,100,1,1,
16,15,83057747D3770001,true,3,192.168.1.112,1623444220517,1623444220532,100,15,,15
17,18,lnj4hsmccuk,false,1,192.168.1.114,1623444220556,1623444220558,100,2,2,
18,17,C350632FC3DE0001,true,3,192.168.1.112,1623444220545,1623444220560,100,15,,15
19,19,s035uzhnlxm,false,1,192.168.1.114,1623444220566,1623444220568,100,2,2,
20,20,vd95cwi1cms,false,1,192.168.1.114,1623444220576,1623444220578,100,2,2,
21,22,9uu79h9fkx5,false,1,192.168.1.114,1623444220603,1623444220604,100,1,1,
22,21,D3E4570BA3EF0000,true,3,192.168.1.112,1623444220591,1623444220606,100,15,,15
23,23,D7744F0A558D0000,true,3,192.168.1.112,1623444220618,1623444220632,100,14,,14
24,24,438F387423C20001,true,3,192.168.1.112,1623444220641,1623444220656,100,15,,15
