index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,6vb8yi92cjw,false,1,192.168.1.114,1623443868519,1623443868553,100,34,34,
1,1,rymlp632m5,false,1,192.168.1.114,1623443868546,1623443868556,100,10,10,
2,2,smt4gqxz99o,false,1,192.168.1.114,1623443868557,1623443868561,100,4,4,
3,3,wsfsgl74lp,false,1,192.168.1.114,1623443868569,1623443868572,100,3,3,
4,4,d9lia3w2nc,false,1,192.168.1.114,1623443868580,1623443868582,100,2,2,
5,5,enqvb2thq8e,false,1,192.168.1.114,1623443868591,1623443868593,100,2,2,
6,6,83148F0BE38F0000,true,3,192.168.1.112,1623443868612,1623443868629,100,17,,17
7,8,jxkyausg1sd,false,1,192.168.1.114,1623443868642,1623443868644,100,2,2,
8,7,0314524C73F00001,true,3,192.168.1.112,1623443868631,1623443868647,100,16,,16
9,9,6z2uibqwytj,false,1,192.168.1.114,1623443868653,1623443868655,100,2,2,
10,10,3zk3u06pjjl,false,1,192.168.1.114,1623443868663,1623443868666,100,3,3,
11,11,klh1vumdw5,false,1,192.168.1.114,1623443868674,1623443868677,100,3,3,
12,13,drftf0ewuqu,false,1,192.168.1.114,1623443868703,1623443868705,100,2,2,
13,12,9EC4632793A90001,true,3,192.168.1.112,1623443868692,1623443868708,100,16,,16
14,15,bd0m1v441r,false,1,192.168.1.114,1623443868733,1623443868735,100,2,2,
15,14,71443B077E120000,true,3,192.168.1.112,1623443868721,1623443868737,100,16,,16
16,16,b8i985iq2ob,false,1,192.168.1.114,1623443868743,1623443868746,100,3,3,
17,17,5lkt6nlrx9,false,1,192.168.1.114,1623443868755,1623443868757,100,2,2,
18,18,xqx3p0rqvu,false,1,192.168.1.114,1623443868767,1623443868769,100,2,2,
19,20,gnmpk77rb2q,false,1,192.168.1.114,1623443868794,1623443868796,100,2,2,
20,19,C12161B482E80001,true,3,192.168.1.112,1623443868783,1623443868799,100,16,,16
21,21,xx3fzgft4tg,false,1,192.168.1.114,1623443868805,1623443868810,100,5,5,
22,22,415ufubriru,false,1,192.168.1.114,1623443868819,1623443868822,100,3,3,
23,23,wkn6qq8vj3,false,1,192.168.1.114,1623443868831,1623443868833,100,2,2,
24,24,xw3imlo1sqj,false,1,192.168.1.114,1623443868841,1623443868843,100,2,2,
25,25,ggsyau386d,false,1,192.168.1.114,1623443868853,1623443868855,100,2,2,
26,26,injeulmx25,false,1,192.168.1.114,1623443868865,1623443868867,100,2,2,
27,28,0qvht55jwe9,false,1,192.168.1.114,1623443868892,1623443868894,100,2,2,
28,27,4A34404DE3E40001,true,3,192.168.1.112,1623443868880,1623443868897,100,17,,17
29,29,4mhf302fkxi,false,1,192.168.1.114,1623443868904,1623443868906,100,2,2,
30,30,cplypf716k7,false,1,192.168.1.114,1623443868914,1623443868916,100,2,2,
31,32,1z00fzm3ap9,false,1,192.168.1.114,1623443868943,1623443868945,100,2,2,
32,31,6BE47A09734D0000,true,3,192.168.1.112,1623443868931,1623443868947,100,16,,16
33,33,cklvsa9m8rk,false,1,192.168.1.114,1623443868953,1623443868955,100,2,2,
34,35,swugr22mz4e,false,1,192.168.1.114,1623443868983,1623443868986,100,3,3,
35,34,81837506534E0001,true,3,192.168.1.112,1623443868971,1623443868988,100,17,,17
36,36,s4y11rvrc1l,false,1,192.168.1.114,1623443868995,1623443868997,100,2,2,
37,37,81344F8AC2E90000,true,3,192.168.1.112,1623443869010,1623443869026,100,16,,16
38,38,4894580053C90000,true,3,192.168.1.112,1623443869025,1623443869042,100,17,,17
39,39,439C4F05C3820001,true,3,192.168.1.112,1623443869050,1623443869066,100,16,,16
40,41,p90b8hjmcnc,false,1,192.168.1.114,1623443869077,1623443869079,100,2,2,
41,40,00731B8384490000,true,3,192.168.1.112,1623443869066,1623443869085,100,19,,19
42,42,vvhord4ly5p,false,1,192.168.1.114,1623443869087,1623443869089,100,2,2,
43,43,oohcv2ugvnc,false,1,192.168.1.114,1623443869099,1623443869101,100,2,2,
44,44,rgumg3sm6mc,false,1,192.168.1.114,1623443869110,1623443869112,100,2,2,
45,45,n1mwew1se6c,false,1,192.168.1.114,1623443869120,1623443869122,100,2,2,
46,46,4FC4578003800000,true,3,192.168.1.112,1623443869135,1623443869151,100,16,,16
47,47,DFDB610133DF0000,true,3,192.168.1.112,1623443869149,1623443869165,100,16,,16
48,49,xdy9iv8sczk,false,1,192.168.1.114,1623443869174,1623443869176,100,2,2,
49,48,0CF7E7F04ADF0001,true,3,192.168.1.112,1623443869163,1623443869179,100,16,,16
50,50,hjyasck2a7c,false,1,192.168.1.114,1623443869184,1623443869187,100,3,3,
51,52,s1x484urgis,false,1,192.168.1.114,1623443869211,1623443869213,100,2,2,
52,51,42245D9E7FE30000,true,3,192.168.1.112,1623443869199,1623443869215,100,16,,16
53,53,teo40fvq0u8,false,1,192.168.1.114,1623443869223,1623443869225,100,2,2,
54,54,99ykptqw3ar,false,1,192.168.1.114,1623443869234,1623443869236,100,2,2,
55,55,05949D08C3800000,true,3,192.168.1.112,1623443869249,1623443869265,100,16,,16
56,57,869knkqt4ja,false,1,192.168.1.114,1623443869276,1623443869278,100,2,2,
57,56,837457FBB39F0000,true,3,192.168.1.112,1623443869264,1623443869280,100,16,,16
58,58,m58akkar7gs,false,1,192.168.1.114,1623443869288,1623443869290,100,2,2,
59,59,upq3atgbiyi,false,1,192.168.1.114,1623443869299,1623443869301,100,2,2,
60,61,2nck8rn37l3,false,1,192.168.1.114,1623443869324,1623443869326,100,2,2,
61,60,0C12974808F10001,true,3,192.168.1.112,1623443869312,1623443869328,100,16,,16
62,62,nsg62m0dxhe,false,1,192.168.1.114,1623443869336,1623443869338,100,2,2,
63,64,vnys7qd5a3,false,1,192.168.1.114,1623443869364,1623443869366,100,2,2,
64,63,4481C34744EA0001,true,3,192.168.1.112,1623443869352,1623443869368,100,16,,16
65,66,liaetqzfp2,false,1,192.168.1.114,1623443869387,1623443869389,100,2,2,
66,65,1E509BC653610001,true,3,192.168.1.112,1623443869376,1623443869391,100,15,,15
67,67,jb3wzr2s3th,false,1,192.168.1.114,1623443869398,1623443869400,100,2,2,
68,68,v8276xm04t,false,1,192.168.1.114,1623443869410,1623443869412,100,2,2,
69,69,730b16upqrb,false,1,192.168.1.114,1623443869420,1623443869422,100,2,2,
70,70,voj1k98yduf,false,1,192.168.1.114,1623443869432,1623443869434,100,2,2,
71,72,4w3006k1y0u,false,1,192.168.1.114,1623443869456,1623443869458,100,2,2,
72,71,22B4A40893B90000,true,3,192.168.1.112,1623443869444,1623443869460,100,16,,16
73,74,d4kzruljm36,false,1,192.168.1.114,1623443869480,1623443869483,100,3,3,
74,73,FC3B4BC659AE0000,true,3,192.168.1.112,1623443869468,1623443869485,100,17,,17
75,75,902B6B801A480001,true,3,192.168.1.112,1623443869493,1623443869513,100,20,,20
76,77,cmra0kpehbh,false,1,192.168.1.114,1623443869517,1623443869519,100,2,2,
77,76,C321F834A3E80001,true,3,192.168.1.112,1623443869507,1623443869526,100,19,,19
78,79,p861llvqckk,false,1,192.168.1.114,1623443869541,1623443869543,100,2,2,
79,78,4304F70B73EF0000,true,3,192.168.1.112,1623443869531,1623443869546,100,15,,15
80,80,braonpml4bj,false,1,192.168.1.114,1623443869553,1623443869555,100,2,2,
81,81,p4ikkgeg1ci,false,1,192.168.1.114,1623443869563,1623443869566,100,3,3,
82,82,01B65C4CB3C00001,true,3,192.168.1.112,1623443869578,1623443869592,100,14,,14
83,84,zvra01rpyv,false,1,192.168.1.114,1623443869602,1623443869604,100,2,2,
84,83,E1842B35E4480001,true,3,192.168.1.112,1623443869590,1623443869606,100,16,,16
85,85,jrj8o7lmyy,false,1,192.168.1.114,1623443869612,1623443869615,100,3,3,
86,86,2u8x1x4i8qq,false,1,192.168.1.114,1623443869624,1623443869626,100,2,2,
87,87,vxfwfvyi2ob,false,1,192.168.1.114,1623443869635,1623443869637,100,2,2,
88,88,B21077C574310001,true,3,192.168.1.112,1623443869647,1623443869663,100,16,,16
89,90,694e6l8bbsu,false,1,192.168.1.114,1623443869672,1623443869674,100,2,2,
90,89,CDE6CFA722BF0001,true,3,192.168.1.112,1623443869660,1623443869677,100,17,,17
91,91,u8fii841n0l,false,1,192.168.1.114,1623443869684,1623443869686,100,2,2,
92,92,6sv4qcli2y3,false,1,192.168.1.114,1623443869694,1623443869696,100,2,2,
93,93,b6avlu83fu,false,1,192.168.1.114,1623443869706,1623443869708,100,2,2,
94,95,7q2u61srhri,false,1,192.168.1.114,1623443869730,1623443869732,100,2,2,
95,94,03144FAC29BA0000,true,3,192.168.1.112,1623443869718,1623443869734,100,16,,16
96,96,3ctrfn2pdlr,false,1,192.168.1.114,1623443869740,1623443869742,100,2,2,
97,97,wej0l6l7l4a,false,1,192.168.1.114,1623443869752,1623443869754,100,2,2,
98,98,mumwtgehv5p,false,1,192.168.1.114,1623443869763,1623443869765,100,2,2,
99,99,24tsx5b6nne,false,1,192.168.1.114,1623443869774,1623443869777,100,3,3,
100,100,ygyxfxw4p6,false,1,192.168.1.114,1623443869786,1623443869788,100,2,2,
101,101,kzpiu1hv4gd,false,1,192.168.1.114,1623443869797,1623443869799,100,2,2,
102,102,bqjzr4hxfod,false,1,192.168.1.114,1623443869807,1623443869809,100,2,2,
103,103,6ndeva8mxzo,false,1,192.168.1.114,1623443869817,1623443869819,100,2,2,
104,105,q88yvsvyt8n,false,1,192.168.1.114,1623443869841,1623443869843,100,2,2,
105,104,42244BC613810001,true,3,192.168.1.112,1623443869830,1623443869845,100,15,,15
106,107,eetck25wn6,false,1,192.168.1.114,1623443869865,1623443869868,100,3,3,
107,106,A22A7B4933B50000,true,3,192.168.1.112,1623443869854,1623443869870,100,16,,16
108,108,2mpr6tbpeci,false,1,192.168.1.114,1623443869877,1623443869879,100,2,2,
109,109,hpdagha6cwp,false,1,192.168.1.114,1623443869887,1623443869889,100,2,2,
110,111,f5gwpd0dwub,false,1,192.168.1.114,1623443869910,1623443869912,100,2,2,
111,110,909443AC9AEA0000,true,3,192.168.1.112,1623443869900,1623443869914,100,14,,14
112,112,3xtbgn31tji,false,1,192.168.1.114,1623443869920,1623443869922,100,2,2,
113,114,go1s5k3a77c,false,1,192.168.1.114,1623443869943,1623443869945,100,2,2,
114,113,C376676DE3660001,true,3,192.168.1.112,1623443869933,1623443869948,100,15,,15
115,115,tajywijw40j,false,1,192.168.1.114,1623443869954,1623443869956,100,2,2,
116,116,fhi15aa8lur,false,1,192.168.1.114,1623443869966,1623443869968,100,2,2,
117,117,4wyqfyzx0f3,false,1,192.168.1.114,1623443869977,1623443869979,100,2,2,
118,118,adqvhpdd1on,false,1,192.168.1.114,1623443869987,1623443869989,100,2,2,
119,119,dkt11zyq46f,false,1,192.168.1.114,1623443869997,1623443869999,100,2,2,
120,121,0b97uspkm0x,false,1,192.168.1.114,1623443870020,1623443870022,100,2,2,
121,120,F34653C7A9980000,true,3,192.168.1.112,1623443870009,1623443870025,100,16,,16
122,122,4duwpuwnggb,false,1,192.168.1.114,1623443870032,1623443870034,100,2,2,
123,124,zu8dhsi26bf,false,1,192.168.1.114,1623443870056,1623443870058,100,2,2,
124,123,832B13C393570000,true,3,192.168.1.112,1623443870044,1623443870060,100,16,,16
125,125,43B4570BA37F0000,true,3,192.168.1.112,1623443870068,1623443870082,100,14,,14
126,126,031D974F53E20001,true,3,192.168.1.112,1623443870080,1623443870095,100,15,,15
127,127,0C33FF3BC3EC0000,true,3,192.168.1.112,1623443870092,1623443870108,100,16,,16
128,129,od8tuzxlunh,false,1,192.168.1.114,1623443870114,1623443870116,100,2,2,
129,128,880D1703C2FE0000,true,3,192.168.1.112,1623443870104,1623443870120,100,16,,16
130,130,h34r8icvqzj,false,1,192.168.1.114,1623443870125,1623443870127,100,2,2,
131,132,btkpuf4j5lp,false,1,192.168.1.114,1623443870149,1623443870151,100,2,2,
132,131,D2B42B0673F10001,true,3,192.168.1.112,1623443870139,1623443870154,100,15,,15
133,133,b6rron2qugs,false,1,192.168.1.114,1623443870160,1623443870164,100,4,4,
134,134,F9346B4D34590001,true,3,192.168.1.112,1623443870173,1623443870183,100,10,,10
135,135,ttd1eqcwnv,false,1,192.168.1.114,1623443870184,1623443870186,100,2,2,
136,136,xzz683fag3,false,1,192.168.1.114,1623443870196,1623443870198,100,2,2,
137,137,4d9dh7g72po,false,1,192.168.1.114,1623443870207,1623443870209,100,2,2,
138,138,1edmprrm5m8h,false,1,192.168.1.114,1623443870217,1623443870219,100,2,2,
139,139,fid2rd474wn,false,1,192.168.1.114,1623443870227,1623443870229,100,2,2,
140,140,on8fik865ns,false,1,192.168.1.114,1623443870237,1623443870239,100,2,2,
141,141,hwedy2vpb9n,false,1,192.168.1.114,1623443870248,1623443870251,100,3,3,
142,142,584l78sd698,false,1,192.168.1.114,1623443870260,1623443870262,100,2,2,
143,143,C074F34C33A60001,true,3,192.168.1.112,1623443870272,1623443870283,100,11,,11
144,144,C886768FAF200000,true,3,192.168.1.112,1623443870285,1623443870295,100,10,,10
