index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,dyt32q3ppak,false,1,192.168.1.114,1623444512289,1623444512322,100,33,33,
1,2,ussczxbbxc,false,1,192.168.1.114,1623444512337,1623444512340,100,3,3,
2,1,EE434BC93FC90001,true,3,192.168.1.112,1623444512326,1623444512344,100,18,,18
3,4,yjo2ll3z75,false,1,192.168.1.114,1623444512367,1623444512370,100,3,3,
4,3,79F46B08D37B0000,true,3,192.168.1.112,1623444512355,1623444512373,100,18,,18
5,5,dtl881lu51v,false,1,192.168.1.114,1623444512379,1623444512381,100,2,2,
6,6,z73m0yxzlod,false,1,192.168.1.114,1623444512390,1623444512392,100,2,2,
7,7,08015DECE1D80001,true,3,192.168.1.112,1623444512407,1623444512421,100,14,,14
8,8,582myedgq9y,false,1,192.168.1.114,1623444512419,1623444512424,100,5,5,
9,10,wkzgr4n7sf,false,1,192.168.1.114,1623444512450,1623444512452,100,2,2,
10,9,89240B2E93720001,true,3,192.168.1.112,1623444512439,1623444512455,100,16,,16
11,11,628gflmop5u,false,1,192.168.1.114,1623444512462,1623444512464,100,2,2,
12,12,778589tqfug,false,1,192.168.1.114,1623444512472,1623444512475,100,3,3,
13,13,54io3v5hjp8,false,1,192.168.1.114,1623444512484,1623444512486,100,2,2,
14,14,jzel5ah1hon,false,1,192.168.1.114,1623444512494,1623444512497,100,3,3,
15,16,q1pyu2gmwc,false,1,192.168.1.114,1623444512521,1623444512523,100,2,2,
16,15,83AB7F27233D0001,true,3,192.168.1.112,1623444512510,1623444512526,100,16,,16
17,18,98lpr4jyd2t,false,1,192.168.1.114,1623444512551,1623444512553,100,2,2,
18,17,13F49B8651030001,true,3,192.168.1.112,1623444512541,1623444512556,100,15,,15
19,19,js0hewbfqi,false,1,192.168.1.114,1623444512563,1623444512565,100,2,2,
20,20,vdgphzv1o5,false,1,192.168.1.114,1623444512573,1623444512575,100,2,2,
21,21,2cih6vjm256,false,1,192.168.1.114,1623444512585,1623444512587,100,2,2,
22,23,59u4ecjqesj,false,1,192.168.1.114,1623444512612,1623444512614,100,2,2,
23,22,8F08634EC46C0001,true,3,192.168.1.112,1623444512600,1623444512616,100,16,,16
24,24,wev9ag2lwem,false,1,192.168.1.114,1623444512623,1623444512626,100,3,3,
25,26,xp4b3k74eah,false,1,192.168.1.114,1623444512653,1623444512655,100,2,2,
26,25,89140BBE93020001,true,3,192.168.1.112,1623444512641,1623444512658,100,17,,17
27,27,tg64lnume8k,false,1,192.168.1.114,1623444512665,1623444512666,100,1,1,
28,28,yl7yxw5i4pp,false,1,192.168.1.114,1623444512676,1623444512678,100,2,2,
29,30,smy8vbbsjyk,false,1,192.168.1.114,1623444512702,1623444512704,100,2,2,
30,29,0080734B73860000,true,3,192.168.1.112,1623444512690,1623444512707,100,17,,17
31,31,jwxrszrl1cp,false,1,192.168.1.114,1623444512714,1623444512716,100,2,2,
32,33,4m9fop0d6zm,false,1,192.168.1.114,1623444512740,1623444512742,100,2,2,
33,32,0344474CFE870000,true,3,192.168.1.112,1623444512729,1623444512745,100,16,,16
34,34,2qpznpmnqud,false,1,192.168.1.114,1623444512752,1623444512754,100,2,2,
35,35,pf03cdztu7g,false,1,192.168.1.114,1623444512762,1623444512764,100,2,2,
36,37,aicfjoiztj,false,1,192.168.1.114,1623444512797,1623444512800,100,3,3,
37,36,23AA874DA35D0001,true,3,192.168.1.112,1623444512787,1623444512802,100,15,,15
38,38,C3345702E3990000,true,3,192.168.1.112,1623444512814,1623444512829,100,15,,15
39,39,4FC4578003800000,true,3,192.168.1.112,1623444512829,1623444512844,100,15,,15
40,40,32146A4C9B6A0000,true,3,192.168.1.112,1623444512842,1623444512858,100,16,,16
41,41,C044784806430000,true,3,192.168.1.112,1623444512857,1623444512871,100,14,,14
42,42,sf099thj7z,false,1,192.168.1.114,1623444512869,1623444512873,100,4,4,
43,43,t91lrkqcnua,false,1,192.168.1.114,1623444512881,1623444512883,100,2,2,
44,45,owfr8nz81he,false,1,192.168.1.114,1623444512911,1623444512913,100,2,2,
45,44,81E77F4773060001,true,3,192.168.1.112,1623444512900,1623444512915,100,15,,15
46,46,f0svzum512j,false,1,192.168.1.114,1623444512921,1623444512923,100,2,2,
47,48,7dmvwrdausg,false,1,192.168.1.114,1623444512948,1623444512950,100,2,2,
48,47,0FA45FC5230F0001,true,3,192.168.1.112,1623444512936,1623444512953,100,17,,17
49,49,4kl64lzl9bd,false,1,192.168.1.114,1623444512960,1623444512962,100,2,2,
50,50,39doi8bj88s,false,1,192.168.1.114,1623444512970,1623444512972,100,2,2,
51,51,ggtqc7lof5,false,1,192.168.1.114,1623444512982,1623444512984,100,2,2,
52,52,rkwv8t1oyb,false,1,192.168.1.114,1623444512993,1623444512995,100,2,2,
