index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,42D443EAD8C50001,true,3,192.168.1.112,1623444776022,1623444776062,100,40,,40
1,1,9014790BE03F0000,true,3,192.168.1.112,1623444776055,1623444776066,100,11,,11
2,2,hb6j9drcqmj,false,1,192.168.1.114,1623444776067,1623444776070,100,3,3,
3,3,rd63ay77mpk,false,1,192.168.1.114,1623444776078,1623444776081,100,3,3,
4,4,7F7D766F7D4B0000,true,3,192.168.1.112,1623444776095,1623444776104,100,9,,9
5,5,ve5zu392lhf,false,1,192.168.1.114,1623444776106,1623444776109,100,3,3,
6,6,4364579BA31F0000,true,3,192.168.1.112,1623444776125,1623444776134,100,9,,9
7,8,iex1x6c9vs,false,1,192.168.1.114,1623444776154,1623444776156,100,2,2,
8,7,821E2B017A270001,true,3,192.168.1.112,1623444776143,1623444776158,100,15,,15
9,10,1cm4dc095ls,false,1,192.168.1.114,1623444776183,1623444776186,100,3,3,
10,9,C1148F4EE3560001,true,3,192.168.1.112,1623444776173,1623444776188,100,15,,15
14,14,82FD7748FE3F0001,true,3,192.168.1.112,1623444776233,1623444776249,100,16,,16
15,15,03444E5A43090000,true,3,192.168.1.112,1623444776251,1623444776265,100,14,,14
16,17,2vk6lb842o9,false,1,192.168.1.114,1623444776279,1623444776280,100,1,1,
17,16,C094734A339E0000,true,3,192.168.1.112,1623444776267,1623444776283,100,16,,16
18,18,6u7r5u7e2xe,false,1,192.168.1.114,1623444776289,1623444776291,100,2,2,
19,19,6fsj475gjqt,false,1,192.168.1.114,1623444776301,1623444776303,100,2,2,
20,20,C3AB6ACD831F0001,true,3,192.168.1.112,1623444776317,1623444776332,100,15,,15
21,21,0D144FA363960000,true,3,192.168.1.112,1623444776340,1623444776355,100,15,,15
22,22,46A44B4760990001,true,3,192.168.1.112,1623444776355,1623444776369,100,14,,14
23,24,9bexgd4zmzl,false,1,192.168.1.114,1623444776381,1623444776382,100,1,1,
24,23,0334460AE3D90000,true,3,192.168.1.112,1623444776369,1623444776384,100,15,,15
25,26,s989fx7tk6h,false,1,192.168.1.114,1623444776404,1623444776406,100,2,2,
26,25,CB14758202990000,true,3,192.168.1.112,1623444776394,1623444776408,100,14,,14
27,28,j35jrucpde,false,1,192.168.1.114,1623444776429,1623444776431,100,2,2,
28,27,68C4DFC753960001,true,3,192.168.1.112,1623444776417,1623444776433,100,16,,16
29,29,sldgncvr72,false,1,192.168.1.114,1623444776439,1623444776441,100,2,2,
30,30,wxp42614mxn,false,1,192.168.1.114,1623444776451,1623444776453,100,2,2,
