index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,nz6emagirih,false,1,192.168.1.114,1623444938003,1623444938037,100,34,34,
1,2,4ibjh1nb1rl,false,1,192.168.1.114,1623444938051,1623444938055,100,4,4,
2,1,C114674E43E60001,true,3,192.168.1.112,1623444938040,1623444938058,100,18,,18
3,3,j170rrdwpl9,false,1,192.168.1.114,1623444938062,1623444938065,100,3,3,
4,4,i8dqrky8cp,false,1,192.168.1.114,1623444938074,1623444938077,100,3,3,
5,6,m0nax2f8yve,false,1,192.168.1.114,1623444938105,1623444938108,100,3,3,
6,5,8A776C8A33E90000,true,3,192.168.1.112,1623444938093,1623444938111,100,18,,18
7,7,2fb4ehxctkr,false,1,192.168.1.114,1623444938116,1623444938118,100,2,2,
8,8,3t7n1sctpz7,false,1,192.168.1.114,1623444938127,1623444938129,100,2,2,
9,9,zvyt4xndpef,false,1,192.168.1.114,1623444938137,1623444938140,100,3,3,
10,10,42E8055F133C0001,true,3,192.168.1.112,1623444938156,1623444938172,100,16,,16
11,12,wchdnpf8xns,false,1,192.168.1.114,1623444938185,1623444938188,100,3,3,
12,11,D07F7B4773640001,true,3,192.168.1.112,1623444938174,1623444938190,100,16,,16
13,13,2u90a47xrhj,false,1,192.168.1.114,1623444938196,1623444938199,100,3,3,
14,14,z51iyb8h84,false,1,192.168.1.114,1623444938208,1623444938210,100,2,2,
15,15,z4h2ul0555,false,1,192.168.1.114,1623444938218,1623444938221,100,3,3,
16,16,y5r8w1adg7d,false,1,192.168.1.114,1623444938230,1623444938232,100,2,2,
17,17,usjrzipfjbr,false,1,192.168.1.114,1623444938241,1623444938243,100,2,2,
18,18,e7ns52hiytv,false,1,192.168.1.114,1623444938251,1623444938254,100,3,3,
19,19,42A4439423220001,true,3,192.168.1.112,1623444938268,1623444938284,100,16,,16
20,20,0D444F8393E60000,true,3,192.168.1.112,1623444938286,1623444938302,100,16,,16
21,22,7jks6cful6r,false,1,192.168.1.114,1623444938314,1623444938316,100,2,2,
22,21,C0D47B4DCB5C0000,true,3,192.168.1.112,1623444938302,1623444938319,100,17,,17
23,23,wn91zf3owhk,false,1,192.168.1.114,1623444938324,1623444938327,100,3,3,
24,24,p3pwxd45rt,false,1,192.168.1.114,1623444938336,1623444938338,100,2,2,
25,25,7vw97eu1ngu,false,1,192.168.1.114,1623444938346,1623444938348,100,2,2,
26,26,khh65c496mq,false,1,192.168.1.114,1623444938358,1623444938360,100,2,2,
27,27,qycxgc32m9,false,1,192.168.1.114,1623444938368,1623444938370,100,2,2,
28,28,uxtt13gqz3,false,1,192.168.1.114,1623444938380,1623444938382,100,2,2,
29,29,5qby4l1idu7,false,1,192.168.1.114,1623444938390,1623444938392,100,2,2,
30,30,xa26hgbpg1,false,1,192.168.1.114,1623444938402,1623444938404,100,2,2,
